Age,Salary,Department,Region,Remote_Work,Performance_Score_Ordinal,Tenure_Years,Join_Year,Join_Month,Join_Quarter,Age_Was_Missing,Salary_Was_Missing,Attrition_Flag
25.0,59767.65,DevOps,California,True,2,3.7426420260095825,2021,4,2,False,False,0
35.0,65304.66,Finance,Texas,True,4,4.470910335386721,2020,7,3,True,False,0
30.0,88145.9,Admin,Nevada,True,3,1.0622861054072552,2023,12,4,True,False,0
25.0,69450.99,Admin,Nevada,True,3,3.0882956878850103,2021,11,4,False,False,1
25.0,109324.61,Cloud Tech,Florida,False,1,2.9815195071868583,2022,1,1,False,False,0
40.0,88642.84,Sales,Texas,False,3,4.553045859000685,2020,6,2,False,False,1
30.0,96288.43,Admin,Nevada,False,3,4.739219712525667,2020,4,2,True,False,0
30.0,94497.91,Cloud Tech,Florida,True,2,2.4531143052703626,2022,7,3,False,False,1
35.0,115565.82,Admin,Nevada,True,4,1.0595482546201231,2023,12,4,False,False,1
32.5,76561.88,DevOps,New York,True,4,2.403832991101985,2022,8,3,True,False,0
35.0,72081.71,Cloud Tech,New York,False,2,0.48186173853524983,2024,7,3,False,False,0
32.5,84946.19,DevOps,California,True,1,1.319644079397673,2023,9,3,True,False,0
30.0,89295.77,HR,New York,False,4,0.8186173853524983,2024,3,1,False,False,0
35.0,85666.84,Finance,California,False,3,4.219028062970568,2020,10,4,True,False,0
25.0,97633.68,Admin,Nevada,True,4,0.5530458590006845,2024,6,2,False,False,0
40.0,117975.49,Sales,Florida,True,3,3.586584531143053,2021,5,2,False,False,0
25.0,94867.33,DevOps,Illinois,False,1,0.6844626967830253,2024,4,2,False,False,1
30.0,100377.65,Finance,Texas,True,2,0.08487337440109514,2024,11,4,False,False,0
30.0,94726.46,Cloud Tech,Nevada,False,4,0.27652292950034224,2024,9,3,True,False,1
35.0,91926.12,Admin,Illinois,True,2,4.991101984941821,2020,1,1,False,False,0
35.0,111460.67,HR,New York,True,4,3.6440793976728267,2021,5,2,False,False,0
40.0,96182.56,Cloud Tech,Illinois,False,3,4.276522929500342,2020,9,3,False,False,0
35.0,115023.94,Sales,Illinois,True,2,3.808350444900753,2021,3,1,False,False,1
35.0,80667.01,Finance,Nevada,False,4,2.9021218343600275,2022,2,1,False,False,0
30.0,91181.61,Admin,Texas,True,3,4.876112251882272,2020,2,1,False,False,1
25.0,66025.92,Cloud Tech,Nevada,False,2,4.6652977412731005,2020,4,2,False,False,0
25.0,83979.01,Sales,New York,False,2,1.242984257357974,2023,10,4,False,False,1
30.0,56785.16,Finance,Florida,True,4,4.465434633812457,2020,7,3,False,False,0
40.0,95741.88,Finance,Nevada,False,4,1.218343600273785,2023,10,4,False,False,0
40.0,63411.31,DevOps,California,True,4,3.600273785078713,2021,5,2,False,False,0
40.0,111214.02,Admin,California,True,3,3.594798083504449,2021,5,2,False,False,1
25.0,114845.69,DevOps,Illinois,True,4,4.470910335386721,2020,7,3,False,False,0
40.0,78072.82,Finance,Florida,False,2,0.14784394250513347,2024,11,4,False,False,0
25.0,79610.52,Finance,California,False,2,3.3949349760438055,2021,8,3,False,False,1
30.0,90542.62,Admin,California,True,4,4.6680355920602326,2020,4,2,False,False,0
25.0,114357.1,Cloud Tech,Illinois,True,4,2.1765913757700206,2022,10,4,False,False,1
30.0,54757.26,Cloud Tech,New York,False,1,1.6591375770020533,2023,5,2,True,False,0
25.0,52781.92,Sales,New York,True,2,1.6618754277891854,2023,5,2,False,False,0
35.0,66708.02,Admin,Nevada,True,3,3.2334017796030117,2021,10,4,False,False,0
40.0,93481.15,HR,Texas,False,1,2.425735797399042,2022,7,3,False,False,0
25.0,59271.96,Sales,New York,True,4,3.5071868583162216,2021,6,2,False,False,0
30.0,108362.15,HR,California,False,4,2.537987679671458,2022,6,2,False,False,0
30.0,59400.38,HR,Nevada,True,2,0.07118412046543464,2024,12,4,True,False,0
30.0,64744.08,Admin,California,False,4,1.6043805612594113,2023,5,2,True,False,1
35.0,94399.91,Finance,California,True,3,4.476386036960986,2020,7,3,True,False,0
25.0,61310.74,HR,New York,True,2,3.5263518138261465,2021,6,2,False,False,0
30.0,98371.37,Cloud Tech,Texas,False,4,0.04380561259411362,2024,12,4,True,False,0
35.0,58921.19,Sales,Illinois,True,2,2.5845311430527036,2022,5,2,False,False,0
35.0,57195.55,Admin,Nevada,False,4,1.2566735112936345,2023,9,3,False,False,0
32.5,61375.12,DevOps,New York,True,4,0.14784394250513347,2024,11,4,True,False,0
40.0,104767.05,Cloud Tech,New York,False,4,3.132101300479124,2021,11,4,False,False,0
35.0,111051.67,Admin,Nevada,False,3,2.8501026694045173,2022,2,1,False,False,0
30.0,105674.18,Finance,California,False,3,0.3942505133470226,2024,8,3,False,False,1
30.0,54859.45,Finance,California,False,2,0.14784394250513347,2024,11,4,False,False,1
35.0,115746.6,Finance,Nevada,True,4,3.137577002053388,2021,11,4,True,False,0
30.0,91759.99,Sales,California,True,4,4.386036960985626,2020,8,3,False,False,0
40.0,112965.33,Sales,Illinois,False,3,2.836413415468857,2022,2,1,False,False,0
40.0,100360.1,Cloud Tech,Illinois,False,4,1.1444216290212184,2023,11,4,False,False,0
35.0,93620.88,Finance,Texas,False,3,3.143052703627652,2021,11,4,False,False,0
35.0,72832.8,Sales,California,True,4,2.704996577686516,2022,4,2,False,False,0
30.0,102369.42,Finance,Nevada,True,2,1.1964407939767283,2023,10,4,False,False,1
40.0,64712.79,Sales,Texas,True,4,3.3867214236824092,2021,8,3,False,False,1
40.0,85782.18,Finance,Florida,True,4,3.7973990417522243,2021,3,1,False,False,0
25.0,93348.26,HR,Illinois,False,1,1.4455852156057496,2023,7,3,False,False,0
35.0,53234.96,Admin,New York,False,3,4.856947296372348,2020,2,1,False,False,0
40.0,100284.21,Finance,Nevada,False,4,3.9041752224503763,2021,2,1,False,False,0
30.0,112486.19,Admin,Nevada,True,4,4.963723477070499,2020,1,1,False,False,0
40.0,82518.49,Admin,New York,True,1,2.0917180013689256,2022,11,4,False,False,0
40.0,119152.47,Admin,Florida,True,1,2.0177960301163584,2022,12,4,False,False,0
32.5,113479.83,DevOps,Illinois,False,3,0.33675564681724846,2024,8,3,True,False,1
40.0,94636.3,Finance,California,False,1,0.28473648186173856,2024,9,3,False,False,0
30.0,70000.97,HR,Florida,True,2,0.9938398357289527,2024,1,1,False,False,0
30.0,76812.47,Cloud Tech,New York,False,1,3.698836413415469,2021,4,2,True,False,0
25.0,82614.7,Finance,Florida,True,2,1.9520876112251881,2023,1,1,False,False,1
40.0,111645.97,Sales,Nevada,True,3,0.19164955509924708,2024,10,4,False,False,0
25.0,112414.91,HR,California,False,3,0.2108145106091718,2024,10,4,False,False,1
40.0,52031.74,Admin,California,True,3,2.272416153319644,2022,9,3,False,False,1
30.0,51887.65,Finance,New York,False,3,2.001368925393566,2022,12,4,False,False,0
25.0,82318.89,DevOps,Florida,True,3,0.13415468856947296,2024,11,4,False,False,0
35.0,103286.08,Admin,Florida,False,2,3.1019849418206706,2021,11,4,False,False,1
35.0,87759.33,Cloud Tech,Florida,False,2,0.7939767282683093,2024,3,1,False,False,0
30.0,102796.32,DevOps,Texas,False,3,4.769336071184121,2020,3,1,False,False,0
25.0,83149.27,Sales,New York,True,1,4.287474332648871,2020,9,3,False,False,0
40.0,92412.49,DevOps,California,True,4,4.054757015742642,2020,12,4,False,False,1
30.0,115022.1,HR,Texas,False,3,4.851471594798084,2020,2,1,False,False,0
40.0,98343.01,DevOps,New York,False,1,1.675564681724846,2023,4,2,False,False,0
35.0,118869.1,DevOps,Illinois,True,4,0.5311430527036276,2024,6,2,False,False,0
